method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;45954;0;27495;235
WithoutMetaModel;0;0;1589;0;1053;9
WithoutMetaModel;0;0;13959;0;8307;71
WithoutMetaModel;0;0;21850;0;12987;111
WithoutMetaModel;0;0;5650;0;3627;31
WithoutMetaModel;0;0;4241;0;2691;23
WithoutMetaModel;0;0;8324;0;5148;44
WithoutMetaModel;0;0;540;0;468;4
WithoutMetaModel;0;0;4609;0;2925;25
WithoutMetaModel;0;0;19437;0;11700;100
WithoutMetaModel;0;0;590;0;468;4
WithoutMetaModel;0;0;13597;0;8190;70
WithoutMetaModel;0;0;7683;0;4797;41
WithoutMetaModel;0;0;3843;0;2457;21
WithoutMetaModel;0;0;1302;0;936;8
WithoutMetaModel;0;0;29236;0;17433;149
WithoutMetaModel;0;0;692;0;585;5
WithoutMetaModel;0;0;6595;0;4212;36
WithoutMetaModel;0;0;3846;0;2457;21
WithoutMetaModel;0;0;27842;0;16614;142
WithoutMetaModel;0;0;7910;0;4797;41
WithoutMetaModel;0;0;1672;0;1170;10
WithoutMetaModel;0;0;30294;0;17784;152
WithoutMetaModel;0;0;21615;0;12987;111
WithoutMetaModel;0;0;9691;0;5967;51
WithoutMetaModel;0;0;38245;0;22698;194
WithoutMetaModel;0;0;25844;0;15444;132
WithoutMetaModel;0;0;32961;0;19773;169
WithoutMetaModel;0;0;17052;0;10179;87
WithoutMetaModel;0;0;2414;0;1521;13
WithoutMetaModel;0;0;16286;0;9711;83
WithoutMetaModel;0;0;4380;0;2808;24
WithoutMetaModel;0;0;2625;0;1755;15
WithoutMetaModel;0;0;22544;0;13572;116
WithoutMetaModel;0;0;1327;0;936;8
WithoutMetaModel;0;0;22496;0;13455;115
WithoutMetaModel;0;0;4727;0;3042;26
WithoutMetaModel;0;0;24282;0;14274;122
WithoutMetaModel;0;0;5762;0;3627;31
WithoutMetaModel;0;0;22945;0;13689;117
WithoutMetaModel;0;0;38068;0;22698;194
