method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;71549;0;42354;362
WithoutMetaModel;0;0;2223;0;1521;13
WithoutMetaModel;0;0;8029;0;4914;42
WithoutMetaModel;0;0;18781;0;11349;97
WithoutMetaModel;0;0;29570;0;17433;149
WithoutMetaModel;0;0;4303;0;2691;23
WithoutMetaModel;0;0;1732;0;1170;10
WithoutMetaModel;0;0;1159;0;819;7
WithoutMetaModel;0;0;18287;0;10998;94
WithoutMetaModel;0;0;2807;0;1872;16
WithoutMetaModel;0;0;2789;0;1872;16
WithoutMetaModel;0;0;26766;0;15912;136
WithoutMetaModel;0;0;40092;0;23985;205
WithoutMetaModel;0;0;13386;0;8073;69
WithoutMetaModel;0;0;4769;0;3042;26
WithoutMetaModel;0;0;620;0;468;4
WithoutMetaModel;0;0;7732;0;4680;40
WithoutMetaModel;0;0;3027;0;1989;17
WithoutMetaModel;0;0;25766;0;15327;131
WithoutMetaModel;0;0;31003;0;18369;157
WithoutMetaModel;0;0;17279;0;10413;89
WithoutMetaModel;0;0;7504;0;4680;40
WithoutMetaModel;0;0;5754;0;3510;30
WithoutMetaModel;0;0;3429;0;2223;19
WithoutMetaModel;0;0;7972;0;4914;42
WithoutMetaModel;0;0;1005;0;702;6
WithoutMetaModel;0;0;17462;0;10413;89
WithoutMetaModel;0;0;18581;0;11115;95
WithoutMetaModel;0;0;3857;0;2457;21
WithoutMetaModel;0;0;1655;0;1170;10
WithoutMetaModel;0;0;29041;0;17433;149
WithoutMetaModel;0;0;4144;0;2691;23
WithoutMetaModel;0;0;11613;0;7020;60
WithoutMetaModel;0;0;29849;0;17784;152
WithoutMetaModel;0;0;15430;0;9360;80
WithoutMetaModel;0;0;10847;0;6552;56
WithoutMetaModel;0;0;1260;0;936;8
WithoutMetaModel;0;0;703;0;585;5
WithoutMetaModel;0;0;5323;0;3276;28
WithoutMetaModel;0;0;2612;0;1638;14
WithoutMetaModel;0;0;5137;0;3276;28
WithoutMetaModel;0;0;739;0;585;5
WithoutMetaModel;0;0;10589;0;6435;55
WithoutMetaModel;0;0;45658;0;26910;230
WithoutMetaModel;0;0;13909;0;8307;71
WithoutMetaModel;0;0;7990;0;5031;43
WithoutMetaModel;0;0;17553;0;10530;90
WithoutMetaModel;0;0;45082;0;26676;228
WithoutMetaModel;0;0;23964;0;14274;122
